approach,cpu,batchsize,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,226,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.39185943603516,41.49
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,99,486,1,2,15,0.11764705882352941,0.6666666666666666,0.9682539682539683,0.2,-130.7258041381836,26.88
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,211,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.5324249267578,40.96
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,172,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-143.071337890625,17.59
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,78,486,3,0,15,0.0,0.0,0.9642857142857143,0.0,-134.40325927734375,34.05
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,12,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-128.1447723388672,2.96
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,2,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-125.46578369140626,3.67
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,22,489,1,2,12,0.14285714285714285,0.6666666666666666,0.9742063492063492,0.23529411764705882,-128.354736328125,2.76
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,63,486,3,0,15,0.0,0.0,0.9642857142857143,0.0,-133.44341430664062,39.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,30,484,1,2,17,0.10526315789473684,0.6666666666666666,0.9642857142857143,0.18181818181818182,-128.9337936401367,2.73
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,80,486,3,0,15,0.0,0.0,0.9642857142857143,0.0,-133.80713958740233,33.63
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,245,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-131.00918579101562,36.64
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,52,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-131.66619873046875,45.05
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,70,481,1,2,20,0.09090909090909091,0.6666666666666666,0.9583333333333334,0.16,-132.25912475585938,37.97
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,23,488,1,2,13,0.13333333333333333,0.6666666666666666,0.9722222222222222,0.2222222222222222,-128.2295944213867,2.84
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,106,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.5117416381836,27.50
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,214,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.1090087890625,41.67
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-127.57743835449219,2.97
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,88,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-135.89781188964844,31.64
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,20,487,1,2,14,0.125,0.6666666666666666,0.9702380952380952,0.21052631578947367,-128.52441864013673,2.74
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,87,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,-135.95306396484375,31.46
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,157,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-136.65504455566406,17.93
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,188,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.68106079101562,17.39
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,126,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-139.80442810058594,22.38
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,160,483,3,0,18,0.0,0.0,0.9583333333333334,0.0,-135.22480316162108,18.02
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,127,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.90252838134765,22.00
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,184,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.82533264160156,17.59
