approach,cpu,hidden_units,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,305,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-152.02512735717437,4409.26
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,146,470,0,3,31,0.08823529411764706,1.0,0.9384920634920635,0.1621621621621622,-63.86144180451347,1773.93
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,45,469,1,2,32,0.058823529411764705,0.6666666666666666,0.9345238095238095,0.10810810810810811,-16.299631331271115,620.45
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,550,468,1,2,33,0.05714285714285714,0.6666666666666666,0.9325396825396826,0.10526315789473684,-289.2991401889781,9407.49
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,472,476,1,2,25,0.07407407407407407,0.6666666666666666,0.9484126984126984,0.13333333333333333,-227.13981690068738,7521.25
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,167,471,0,3,30,0.09090909090909091,1.0,0.9404761904761905,0.16666666666666669,-83.2788416622467,1981.22
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,543,473,1,2,28,0.06666666666666667,0.6666666666666666,0.9424603174603174,0.1212121212121212,-300.36022828957414,8323.82
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,210,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-104.34710641123952,3138.99
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,155,474,0,3,27,0.1,1.0,0.9464285714285714,0.18181818181818182,-78.70538408219598,1859.68
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,142,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-67.56099328252853,1694.66
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,272,471,0,3,30,0.09090909090909091,1.0,0.9404761904761905,0.16666666666666669,-137.57401304780237,3939.74
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,33,468,0,3,33,0.08333333333333333,1.0,0.9345238095238095,0.15384615384615385,-13.701674606023328,509.93
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,526,463,0,3,38,0.07317073170731707,1.0,0.9246031746031746,0.13636363636363635,-278.6114662876794,8165.41
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,541,470,1,2,31,0.06060606060606061,0.6666666666666666,0.9365079365079365,0.1111111111111111,-296.792729141876,8338.02
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,91,472,0,3,29,0.09375,1.0,0.9424603174603174,0.17142857142857143,-41.70252750508395,1137.69
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,40,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-14.872035485066087,559.98
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,3.4379582072097694,182.83
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,54,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-26.50360475004738,715.43
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,75,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-33.28800401047778,954.95
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,433,474,0,3,27,0.1,1.0,0.9464285714285714,0.18181818181818182,-238.9458510989426,5745.67
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,320,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-162.19929156675968,4619.79
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,344,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-170.08199096952723,4975.50
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,345,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-172.91805966913356,4969.23
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,585,471,0,3,30,0.09090909090909091,1.0,0.9404761904761905,0.16666666666666669,-315.6874558448205,9925.36
